0	-2.39848e-23	-2.36235e-23	-7.39046e-22	0	
0.0264282	-1.94937	-2.63909	-2.62608	-1.22984	
0.0883028	-6.28346	-8.17131	-8.91646	-3.40413	
0.184724	-10.5922	-11.4888	-16.9184	-0.961649	
0.314592	-9.66651	-13.8524	-21.3385	4.89628	
0.476434	-4.89579	-20.1591	-23.6059	8.69975	
0.668416	-1.50749	-25.1949	-28.5231	15.2645	
0.888362	4.39082	-31.4159	-31.4159	18.4799	
1.13378	12.641	-31.4159	-31.4159	23.2121	
1.40189	20.8375	-31.4159	-31.4159	24.23	
1.68965	27.7496	-31.4159	-31.4159	21.083	
1.99381	31.4159	-31.4159	-31.4159	12.4654	
2.31091	31.4159	-31.4159	-31.4159	-1.48893	
2.63737	31.4159	-25.4901	-31.4159	-14.4709	
2.96949	31.4159	-9.17731	-31.4159	-18.5256	
3.30349	31.4159	20.9013	-31.4159	-7.83765	
3.6356	31.4159	31.4159	-30.7123	-16.2615	
3.96206	24.0377	28.1416	-31.4159	-31.4159	
4.27917	13.2948	31.4159	-31.4159	-31.4159	
4.58332	1.21773	31.4159	-31.4159	-31.4159	
4.87109	-9.24297	31.4159	-30.7181	-31.4159	
5.1392	-14.4112	30.5583	-25.5951	-30.5131	
5.38461	-14.6259	22.68	-17.3264	-30.6888	
5.60456	-17.3658	16.5404	-14.6213	-24.5143	
5.79654	-17.9275	9.68519	-12.5396	-19.1791	
5.95838	-18.903	5.5773	-13.4292	-13.2062	
6.08825	-16.8102	0.0555057	-12.6989	-10.5075	
6.18467	-8.87241	-3.13816	-6.82388	-7.91739	
6.24655	-2.6431	-1.2443	-2.02928	-2.65008	
6.27298	5.78208e-23	-4.44295e-24	-1.31287e-21	2.43261e-23	
