-8.60972e-22	0	
-3.91484e-06	6.00854e-06	
-2.76447e-05	5.28127e-05	
-7.43752e-05	0.000190936	
-0.000111385	0.000466377	
-6.16203e-05	0.000911378	
0.000154664	0.00158075	
0.000632783	0.00253983	
0.00148927	0.00385617	
0.00286386	0.00559625	
0.00491962	0.00782011	
0.0078456	0.0105761	
0.0118555	0.0138935	
0.0171886	0.0177776	
0.024107	0.0221982	
0.0328907	0.0270884	
0.0438187	0.0323167	
0.0571469	0.0377099	
0.0731432	0.0429366	
0.0920044	0.0477044	
0.113812	0.0521343	
0.138609	0.0566741	
0.166439	0.0617935	
0.197396	0.0675751	
0.231566	0.0740215	
0.269012	0.0811119	
0.309759	0.0888735	
0.353816	0.0972605	
0.401142	0.106313	
0.451682	0.115967	
0.505338	0.126209	
0.561988	0.136975	
0.621453	0.148303	
0.68354	0.160142	
0.748022	0.172416	
0.814654	0.184988	
0.883124	0.197895	
0.952948	0.211908	
1.0238	0.226825	
1.09554	0.24203	
1.16806	0.257388	
1.24129	0.272904	
1.31506	0.288584	
1.38896	0.304984	
1.46242	0.323466	
1.53466	0.345948	
1.60463	0.374422	
1.6713	0.41021	
1.7338	0.453237	
1.79127	0.502934	
1.84296	0.558688	
1.88817	0.619757	
1.92634	0.685329	
1.957	0.754519	
1.97984	0.826396	
1.99464	0.900001	
2.00133	0.974363	
1.99999	1.04853	
1.99079	1.12156	
1.97403	1.19259	
1.95013	1.26079	
1.9196	1.32543	
1.88302	1.38586	
1.84105	1.44151	
1.79429	1.49201	
1.74376	1.53772	
1.69097	1.57955	
1.63721	1.61821	
1.583	1.65326	
1.52967	1.68564	
1.47898	1.7173	
1.4306	1.74698	
1.38359	1.77234	
1.33803	1.79247	
1.29458	1.80763	
1.2539	1.81841	
1.21644	1.82542	
1.18256	1.82929	
1.1524	1.83067	
1.12591	1.83017	
1.1029	1.82833	
1.08314	1.82558	
1.06637	1.82233	
1.05231	1.81886	
1.04066	1.81542	
1.03114	1.81219	
1.02346	1.80927	
1.01737	1.80676	
1.0126	1.80467	
1.00894	1.80301	
1.00618	1.80176	
1.00415	1.80087	
1.00269	1.80029	
1.00167	1.79996	
1.00098	1.79982	
1.00053	1.7998	
1.00025	1.79985	
1.00009	1.79993	
1.00001	1.79999	
1	1.8	
